,asset,coingecko_name
0,DAI,dai
1,STETH,lido-staked-ether
2,UNI,uniswap
3,LINK,chainlink
4,LUNC,terra-luna-classic
5,FRAX,frax
6,AAVE,aave
7,LDO,lido-dao
8,CUSDC,compound-usd-coin
9,MKR,maker
10,GRT,the-graph
11,CDAI,compound-dai
12,CAKE,pancakeswap
13,SNX,synthetix-network-token
14,CETH,compound-ether
15,OSMO,osmosis
16,RUNE,thorchain
17,RPL,rocket-pool
18,KAVA,kava
19,RSR,reserve-rights
20,COMP,compound
21,AMP,amp
22,LRC,loopring
23,CRV,curve-dao-token
24,1INCH,1inch
25,CVX,convex-finance
26,GNO,gnosis
27,GMX,gmx
28,FXS,frax-share
29,NXM,nexus-mutual
30,OHM,olympus
31,SRM,serum
32,YFI,yearn-finance
33,JST,just
34,ZRX,0x
35,MIM,magic-internet-money
36,SUSHI,sushi
37,BAL,balancer
38,ALUSD,alchemix-usd
39,LUSD,liquity-usd
40,UMA,uma
41,DYDX,dydx
42,RBN,ribbon-finance
43,USDN,neutrino-usd
44,INJ,injective
45,REN,ren
46,KNC,kyber-network-crystal
47,MPL,maple
48,API3,api3
49,SPELL,spell-token
50,TRIBE,tribe
51,C98,coin98
52,NMR,numeraire
53,BNT,bancor-network
54,NRV,nerve-finance
55,RAY,raydium
56,KEEP,keep-network
57,JOE,joe
58,SUSD,susd
59,XVS,venus
60,XSUSHI,xsushi
61,STPT,stp-network
62,STG,stargate-finance
63,SFUND,seedify-fund
64,SURE,insure-defi
65,NEST,nest-protocol
66,RENBTC,renbtc
67,LQTY,liquity
68,FEI,fei-usd
69,DODO,dodo
70,LEND,aave-old
71,BADGER,badger-dao
72,BOR,boringdao-old
73, BOND,barnbridge
74,REP,augur
75,BAND,band-protocol
76,ALPHA,alpha-venture-dao
77,AUCTION,bounce
78,AMPL,ampleforth
79,FLM,flamingo-finance
80,POLS,polkastarter
81,WNXM,wrapped-nxm
82, ,truefi
83,CBAT,compound-basic-attention-token
84,ALPACA,alpaca-finance
85,TCR,tracer-dao
86,KP3R,keep3rv1
87,DPX,dopex
88,OUSD,origin-dollar
89,IDEX,idex
90,PERP,perpetual-protocol
91,EPS,ellipsis-old
92,UNFI,unifi-protocol-dao
93,ORN,orion-protocol
94,WAN,wanchain
95,YFII,dfi-money
96,TRB,tellor
97,BEL,bella-protocol
98,LINA,linear
99,MUSD,mstable-usd
